PROVINCIA,COMUNE,TIPOLOGIA,STELLE,DENOMINAZIONE,INDIRIZZO,NUMERO CIVICO,CAP
BELLUNO,AURONZO DI CADORE,ALBERGO,3,AL SOLE,Via Ligonto,6,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,3,ALL' USIGNOLO,Via Riziò,25,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,3,AURORA,Via Unione,15 - Villapiccola,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,3,CACCIATORI,Via Ligonto,26 - Villanova,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,3,CENTRALE,Via Vecellio,1 - Villagrande,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,3,DIANA,Via Zardus,4,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,ELINA,Via Dell'angelo,29 - Villapiccola,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,ERIKA,Via Unione,3,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,EXCELSIOR,Via Unione,1/A - Villapiccola,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,GALENO,Via Pause,52,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,3,GARNI' BARANCIO,Via Corte,17,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,4,HOTEL AURONZO,Via Roma,30,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,3,IRIS,Via Saletta,5 - Villapiccola,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,3,JUVENTUS,Via Padova,26 - Villapiccola,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,K 2,Via Ansiei,10 - Pause di Villanova,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,3,LA NUOVA MONTANINA,Via Monti,3,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,LA PERLA,Piazza Rizzardi,7,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,LARESE,Via Verona,5 - Villapiccola,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,MEUBLE' BLUE HOUSE,VIA REANE,60,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,1,MEUBLE' FONTANA,Via Ospitale,6 - Villagrande,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,MEUBLE' GIUSTINA,Largo Tarin,5 - Villagrande,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,MEUBLE' LA ROSA,Via Riziò,3,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,3,MIRAVALLE,Via Alpini,9 - Villagrande,32041
